2023-10-07 03:32:18 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [54/200] Loss:[0.0396] Train:[40.72] Val:[46.77] Biased Test:[38.65] Update Biased Test:[38.65] Best Biased Test:[40.52]| Unbiased Test:[56.43]  Update Unbiased Test:[56.43] Best Unbiased Test:[56.43]| epoch:[53] | Time:[17.40 min] | [0.00%] [30.09%] [32.15%] [12.11%] [25.65%]
2023-10-07 03:32:38 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [55/200] Loss:[0.0405] Train:[42.97] Val:[45.10] Biased Test:[36.96] Update Biased Test:[38.65] Best Biased Test:[40.52]| Unbiased Test:[55.50]  Update Unbiased Test:[56.43] Best Unbiased Test:[56.43]| epoch:[53] | Time:[17.72 min] | [0.00%] [28.43%] [33.14%] [12.65%] [25.79%]
2023-10-07 03:32:57 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [56/200] Loss:[0.0388] Train:[44.21] Val:[46.13] Biased Test:[38.35] Update Biased Test:[38.65] Best Biased Test:[40.52]| Unbiased Test:[55.09]  Update Unbiased Test:[56.43] Best Unbiased Test:[56.43]| epoch:[53] | Time:[18.03 min] | [0.00%] [27.91%] [34.15%] [12.02%] [25.91%]
2023-10-07 03:33:15 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [57/200] Loss:[0.0451] Train:[42.05] Val:[46.93] Biased Test:[38.28] Update Biased Test:[38.28] Best Biased Test:[40.52]| Unbiased Test:[56.63]  Update Unbiased Test:[56.63] Best Unbiased Test:[56.63]| epoch:[56] | Time:[18.35 min] | [0.00%] [25.80%] [39.42%] [9.31%] [25.47%]
2023-10-07 03:33:35 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [58/200] Loss:[0.0508] Train:[42.95] Val:[45.45] Biased Test:[36.95] Update Biased Test:[38.28] Best Biased Test:[40.52]| Unbiased Test:[55.22]  Update Unbiased Test:[56.63] Best Unbiased Test:[56.63]| epoch:[56] | Time:[18.67 min] | [0.00%] [31.50%] [27.99%] [14.42%] [26.09%]
2023-10-07 03:33:53 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [59/200] Loss:[0.0459] Train:[41.69] Val:[45.34] Biased Test:[36.98] Update Biased Test:[38.28] Best Biased Test:[40.52]| Unbiased Test:[54.78]  Update Unbiased Test:[56.63] Best Unbiased Test:[56.63]| epoch:[56] | Time:[18.98 min] | [0.00%] [31.25%] [32.00%] [11.68%] [25.06%]
2023-10-07 03:34:12 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [60/200] Loss:[0.0449] Train:[41.31] Val:[46.61] Biased Test:[39.56] Update Biased Test:[38.28] Best Biased Test:[40.52]| Unbiased Test:[54.74]  Update Unbiased Test:[56.63] Best Unbiased Test:[56.63]| epoch:[56] | Time:[19.29 min] | [0.00%] [24.07%] [35.12%] [14.68%] [26.12%]
2023-10-07 03:34:31 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [61/200] Loss:[0.0494] Train:[45.58] Val:[45.76] Biased Test:[38.45] Update Biased Test:[38.28] Best Biased Test:[40.52]| Unbiased Test:[53.41]  Update Unbiased Test:[56.63] Best Unbiased Test:[56.63]| epoch:[56] | Time:[19.61 min] | [0.00%] [25.44%] [33.37%] [14.00%] [27.19%]
2023-10-07 03:34:50 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [62/200] Loss:[0.0366] Train:[45.27] Val:[48.16] Biased Test:[41.61] Update Biased Test:[41.61] Best Biased Test:[41.61]| Unbiased Test:[55.73]  Update Unbiased Test:[55.73] Best Unbiased Test:[56.63]| epoch:[61] | Time:[19.93 min] | [0.00%] [27.55%] [33.16%] [13.16%] [26.13%]
2023-10-07 03:35:09 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [63/200] Loss:[0.0368] Train:[47.46] Val:[47.44] Biased Test:[40.74] Update Biased Test:[41.61] Best Biased Test:[41.61]| Unbiased Test:[54.29]  Update Unbiased Test:[55.73] Best Unbiased Test:[56.63]| epoch:[61] | Time:[20.24 min] | [0.00%] [29.15%] [33.29%] [12.28%] [25.28%]
